,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
16506,2019.12.15,09:25:00,33970,33970,33653,33969,13,5305,299,2019-12-15 09:25:00
16507,2019.12.15,09:30:00,33969,33969,33671,33680,7,1163,166,2019-12-15 09:30:00
16508,2019.12.15,09:35:00,33966,33968,33799,33800,14,13092,1,2019-12-15 09:35:00
16509,2019.12.15,09:40:00,33800,33800,33680,33686,12,1746,1,2019-12-15 09:40:00
16510,2019.12.15,09:45:00,33686,33686,33600,33600,17,8448,1,2019-12-15 09:45:00
16511,2019.12.15,09:50:00,33534,33750,33502,33750,34,16732,2,2019-12-15 09:50:00
16512,2019.12.15,09:55:00,33750,33799,33601,33601,15,2650,4,2019-12-15 09:55:00
16513,2019.12.15,10:00:00,33750,33750,33601,33604,20,12123,1,2019-12-15 10:00:00
16514,2019.12.15,10:05:00,33601,33603,33502,33504,28,24839,1,2019-12-15 10:05:00
16515,2019.12.15,10:10:00,33502,33502,33428,33430,22,28898,1,2019-12-15 10:10:00
16516,2019.12.15,10:15:00,33428,33429,33338,33338,53,24051,1,2019-12-15 10:15:00
16517,2019.12.15,10:20:00,33340,33350,33000,33000,63,49755,1,2019-12-15 10:20:00
16518,2019.12.15,10:25:00,33003,33100,32998,32998,33,22060,1,2019-12-15 10:25:00
16519,2019.12.15,10:30:00,32992,32992,32800,32850,42,40843,1,2019-12-15 10:30:00
16520,2019.12.15,10:35:00,32855,33000,32855,33000,26,14172,4,2019-12-15 10:35:00
16521,2019.12.15,10:40:00,33100,33230,33099,33101,34,17790,1,2019-12-15 10:40:00
16522,2019.12.15,10:45:00,33103,33103,32889,32900,59,36956,2,2019-12-15 10:45:00
16523,2019.12.15,10:50:00,33100,33101,33100,33101,19,13590,1,2019-12-15 10:50:00
16524,2019.12.15,10:55:00,33348,33348,33339,33340,8,5275,208,2019-12-15 10:55:00
16525,2019.12.15,11:00:00,33131,33131,33103,33105,23,11972,1,2019-12-15 11:00:00
16526,2019.12.15,11:05:00,33100,33105,33013,33105,31,11204,1,2019-12-15 11:05:00
16527,2019.12.15,11:10:00,33105,33449,33059,33066,32,54760,1,2019-12-15 11:10:00
16528,2019.12.15,11:15:00,33200,33200,33151,33160,35,15650,1,2019-12-15 11:15:00
16529,2019.12.15,11:20:00,33151,33440,33151,33440,10,2476,1,2019-12-15 11:20:00
16530,2019.12.15,11:25:00,33316,33440,33305,33305,19,10620,119,2019-12-15 11:25:00
16531,2019.12.15,11:30:00,33306,33306,33273,33273,18,12206,3,2019-12-15 11:30:00
16532,2019.12.15,11:35:00,33275,33300,33270,33300,17,14828,1,2019-12-15 11:35:00
16533,2019.12.15,11:40:00,33300,33350,33280,33350,16,26089,9,2019-12-15 11:40:00
16534,2019.12.15,11:45:00,33350,33350,33306,33349,4,944,4,2019-12-15 11:45:00
16535,2019.12.15,11:50:00,33341,33345,33275,33275,23,2572,1,2019-12-15 11:50:00
16536,2019.12.15,11:55:00,33300,33344,33300,33344,2,3000,20,2019-12-15 11:55:00
16537,2019.12.15,12:00:00,33301,33344,33277,33282,15,7887,21,2019-12-15 12:00:00
16538,2019.12.15,12:05:00,33300,33345,33288,33289,15,32881,6,2019-12-15 12:05:00
16539,2019.12.15,12:10:00,33330,33344,33270,33280,23,7741,2,2019-12-15 12:10:00
16540,2019.12.15,12:15:00,33280,33350,33279,33279,21,24435,1,2019-12-15 12:15:00
16541,2019.12.15,12:20:00,33279,33351,33279,33350,9,14847,50,2019-12-15 12:20:00
16542,2019.12.15,12:25:00,33350,33501,33350,33501,16,13293,0,2019-12-15 12:25:00
16543,2019.12.16,09:00:00,33300,33600,33300,33500,9,7282,0,2019-12-16 09:00:00
16544,2019.12.16,09:05:00,33301,33500,32800,32800,11,19836,1,2019-12-16 09:05:00
16545,2019.12.16,09:10:00,33200,33200,32800,33000,9,17689,78,2019-12-16 09:10:00
16546,2019.12.16,09:15:00,33000,33000,32922,32999,10,21056,1,2019-12-16 09:15:00
16547,2019.12.16,09:20:00,33000,33000,33000,33000,10,9840,78,2019-12-16 09:20:00
16548,2019.12.16,09:25:00,33100,33200,33001,33200,12,3886,50,2019-12-16 09:25:00
16549,2019.12.16,09:30:00,33200,33200,33014,33014,5,690,1,2019-12-16 09:30:00
16550,2019.12.16,09:35:00,33200,33300,33200,33299,13,28943,49,2019-12-16 09:35:00
16551,2019.12.16,09:40:00,33299,33299,33222,33299,15,64928,49,2019-12-16 09:40:00
16552,2019.12.16,09:45:00,33297,33299,33210,33210,14,55965,10,2019-12-16 09:45:00
16553,2019.12.16,09:50:00,33210,33210,33200,33200,9,6044,10,2019-12-16 09:50:00
16554,2019.12.16,09:55:00,33190,33200,33190,33200,6,801,10,2019-12-16 09:55:00
16555,2019.12.16,10:00:00,33200,33295,33190,33295,11,3419,10,2019-12-16 10:00:00
16556,2019.12.16,10:05:00,33210,33299,33210,33299,10,4256,85,2019-12-16 10:05:00
16557,2019.12.16,10:10:00,33299,33299,33210,33299,12,2830,1,2019-12-16 10:10:00
16558,2019.12.16,10:15:00,33299,33299,33211,33212,6,3375,67,2019-12-16 10:15:00
16559,2019.12.16,10:20:00,33280,33280,33210,33215,11,30612,1,2019-12-16 10:20:00
16560,2019.12.16,10:25:00,33222,33298,33222,33222,10,2550,1,2019-12-16 10:25:00
16561,2019.12.16,10:30:00,33298,33298,33220,33298,12,8130,1,2019-12-16 10:30:00
16562,2019.12.16,10:35:00,33297,33299,33210,33210,19,52827,10,2019-12-16 10:35:00
16563,2019.12.16,10:40:00,33298,33298,33167,33167,25,14300,9,2019-12-16 10:40:00
16564,2019.12.16,10:45:00,33199,33199,33100,33100,10,4527,29,2019-12-16 10:45:00
16565,2019.12.16,10:50:00,33101,33133,33101,33133,6,1860,1,2019-12-16 10:50:00
16566,2019.12.16,10:55:00,33133,33133,33115,33115,9,2252,5,2019-12-16 10:55:00
16567,2019.12.16,11:00:00,33120,33120,33110,33116,9,8052,1,2019-12-16 11:00:00
16568,2019.12.16,11:05:00,33120,33121,33120,33121,7,5235,1,2019-12-16 11:05:00
16569,2019.12.16,11:10:00,33125,33298,33125,33298,13,7745,1,2019-12-16 11:10:00
16570,2019.12.16,11:15:00,33200,33298,33200,33200,9,15916,49,2019-12-16 11:15:00
16571,2019.12.16,11:20:00,33200,33200,33120,33120,15,11170,1,2019-12-16 11:20:00
16572,2019.12.16,11:25:00,33121,33200,33121,33121,5,725,1,2019-12-16 11:25:00
16573,2019.12.16,11:30:00,33120,33298,33120,33120,18,32176,1,2019-12-16 11:30:00
16574,2019.12.16,11:35:00,33120,33200,33120,33200,13,16118,20,2019-12-16 11:35:00
16575,2019.12.16,11:40:00,33200,33200,33120,33120,16,3334,1,2019-12-16 11:40:00
16576,2019.12.16,11:45:00,33198,33198,33100,33100,25,34529,1,2019-12-16 11:45:00
16577,2019.12.16,11:50:00,33199,33199,33130,33130,6,3750,67,2019-12-16 11:50:00
16578,2019.12.16,11:55:00,33130,33130,33012,33130,15,3505,2,2019-12-16 11:55:00
16579,2019.12.16,12:00:00,33130,33130,32950,32950,31,22765,50,2019-12-16 12:00:00
16580,2019.12.16,12:05:00,32950,33130,32901,33130,5,5153,19,2019-12-16 12:05:00
16581,2019.12.16,12:10:00,33130,33130,33000,33000,9,3478,1,2019-12-16 12:10:00
16582,2019.12.16,12:15:00,33130,33150,33130,33150,6,3227,20,2019-12-16 12:15:00
16583,2019.12.16,12:20:00,33130,33150,32900,32999,73,70629,10,2019-12-16 12:20:00
16584,2019.12.16,12:25:00,32999,33000,32901,32999,27,21707,1,2019-12-16 12:25:00
16585,2019.12.17,09:00:00,32998,33600,32790,33064,26,77404,24,2019-12-17 09:00:00
16586,2019.12.17,09:05:00,32810,33063,32810,32821,6,8903,50,2019-12-17 09:05:00
16587,2019.12.17,09:10:00,32999,33040,32900,33001,32,15130,5,2019-12-17 09:10:00
16588,2019.12.17,09:15:00,33001,33067,33001,33001,22,19846,12,2019-12-17 09:15:00
16589,2019.12.17,09:20:00,33001,33050,33000,33000,36,17739,50,2019-12-17 09:20:00
16590,2019.12.17,09:25:00,33000,33080,33000,33080,8,5086,6,2019-12-17 09:25:00
16591,2019.12.17,09:30:00,33099,33175,33090,33090,17,23778,1,2019-12-17 09:30:00
16592,2019.12.17,09:35:00,33090,33200,33090,33111,10,12145,4,2019-12-17 09:35:00
16593,2019.12.17,09:40:00,33199,33200,33199,33199,9,10590,1,2019-12-17 09:40:00
16594,2019.12.17,09:45:00,33198,33199,33050,33050,20,23631,9,2019-12-17 09:45:00
16595,2019.12.17,09:50:00,33050,33055,33050,33050,9,3670,5,2019-12-17 09:50:00
16596,2019.12.17,09:55:00,33050,33050,33011,33048,11,2829,5,2019-12-17 09:55:00
16597,2019.12.17,10:00:00,33047,33047,33000,33000,29,11711,2,2019-12-17 10:00:00
16598,2019.12.17,10:05:00,33000,33002,32995,32995,12,5615,2,2019-12-17 10:05:00
16599,2019.12.17,10:10:00,32995,32995,32901,32901,25,4750,1,2019-12-17 10:10:00
16600,2019.12.17,10:15:00,32901,32995,32900,32907,21,53882,44,2019-12-17 10:15:00
16601,2019.12.17,10:20:00,32950,32999,32901,32999,21,10794,3,2019-12-17 10:20:00
16602,2019.12.17,10:25:00,32901,33000,32900,32901,39,38364,1,2019-12-17 10:25:00
16603,2019.12.17,10:30:00,32901,33000,32901,32995,8,4660,1,2019-12-17 10:30:00
16604,2019.12.17,10:35:00,32902,32999,32901,32999,7,2811,1,2019-12-17 10:35:00
16605,2019.12.17,10:40:00,32980,32980,32902,32903,17,9333,1,2019-12-17 10:40:00
16606,2019.12.17,10:45:00,32904,32980,32900,32901,25,60800,3,2019-12-17 10:45:00
16607,2019.12.17,10:50:00,32910,32910,32871,32900,25,32992,9,2019-12-17 10:50:00
16608,2019.12.17,10:55:00,32900,32900,32900,32900,3,2024,29,2019-12-17 10:55:00
16609,2019.12.17,11:00:00,32900,32903,32871,32903,11,4602,2,2019-12-17 11:00:00
16610,2019.12.17,11:05:00,32903,32903,32900,32902,20,5157,1,2019-12-17 11:05:00
16611,2019.12.17,11:10:00,32995,32995,32877,32877,20,6814,1,2019-12-17 11:10:00
16612,2019.12.17,11:15:00,32877,32900,32877,32900,11,7709,1,2019-12-17 11:15:00
16613,2019.12.17,11:20:00,32900,32901,32900,32901,5,3446,1,2019-12-17 11:20:00
16614,2019.12.17,11:25:00,32901,32993,32901,32992,11,4007,1,2019-12-17 11:25:00
16615,2019.12.17,11:30:00,32994,32994,32901,32901,3,1170,2,2019-12-17 11:30:00
16616,2019.12.17,11:35:00,32902,32920,32901,32901,10,5100,73,2019-12-17 11:35:00
16617,2019.12.17,11:40:00,32901,32997,32900,32900,16,12631,1,2019-12-17 11:40:00
16618,2019.12.17,11:45:00,32900,32950,32900,32910,8,4965,4,2019-12-17 11:45:00
16619,2019.12.17,11:50:00,32911,32985,32911,32915,9,8527,3,2019-12-17 11:50:00
16620,2019.12.17,11:55:00,32915,32996,32915,32996,7,1554,1,2019-12-17 11:55:00
16621,2019.12.17,12:00:00,32997,33000,32997,32999,18,16817,1,2019-12-17 12:00:00
16622,2019.12.17,12:05:00,32999,33000,32999,32999,11,14020,1,2019-12-17 12:05:00
16623,2019.12.17,12:10:00,32999,32999,32900,32900,34,28139,1,2019-12-17 12:10:00
16624,2019.12.17,12:15:00,32900,32900,32875,32875,24,57403,1,2019-12-17 12:15:00
16625,2019.12.17,12:20:00,32881,32885,32871,32885,31,71475,3,2019-12-17 12:20:00
16626,2019.12.17,12:25:00,32886,32900,32500,32600,172,341437,1,2019-12-17 12:25:00
16627,2019.12.18,09:00:00,33650,33650,33211,33211,12,25121,1,2019-12-18 09:00:00
16628,2019.12.18,09:05:00,33630,33630,33222,33222,12,7714,3,2019-12-18 09:05:00
16629,2019.12.18,09:10:00,33222,33300,33222,33223,22,18505,6,2019-12-18 09:10:00
16630,2019.12.18,09:15:00,33260,33260,33000,33000,40,19729,5,2019-12-18 09:15:00
16631,2019.12.18,09:20:00,33000,33000,32780,32870,14,5777,70,2019-12-18 09:20:00
16632,2019.12.18,09:25:00,32882,32882,32800,32810,26,17493,8,2019-12-18 09:25:00
